price,rating,timestamp,is_late_delivery,is_return_risk,product_id
9.99,5.0,1519317108692,0,0,B01N0TQ0OH
22.99,5.0,1664746863446,0,0,B07DD37QPZ
46.27,5.0,1480334300000,0,0,B00AF7WZTM
399.0,5.0,1650153667807,0,1,B09W5PMK5X
9.99,5.0,1530566292904,0,0,B07BFGZQ65
5.99,4.0,1500767609568,0,0,B00EORXEUS
6.18,1.0,1500090152427,0,1,B07VN6QRQL
11.97,2.0,1507405449870,0,1,B016TZKU54
9.99,5.0,1564784470633,0,0,B08XP29S76
19.99,4.0,1605156920645,0,0,B072JL5W21
54.32,4.0,1406384531000,0,0,B001TJ5380
29.58,5.0,1675891583448,0,0,B082DQDDBV
12.0,5.0,1664130434178,0,0,B077WCTV57
16.99,5.0,1650565586703,0,0,B0BTV3G59T
12.99,5.0,1574479466566,0,0,B09DD2LZBY
11.97,5.0,1558494650745,0,0,B07VFQ438P
13.99,5.0,1558494549414,0,0,B0BZGQJ3W7
27.99,3.0,1432332748000,0,1,B07P3Y8JWY
16.99,5.0,1432330500000,0,0,B092T5Y46X
8.75,1.0,1590351039354,0,0,B00ECV6EEO
12.99,5.0,1588985725992,0,0,B0792KP2G3
6.43,5.0,1590946309031,0,0,B078RR85BS
5.17,5.0,1607656882135,0,0,B000FKHLLQ
64.99,5.0,1614373303367,0,0,B08L5NZXV2
9.99,5.0,1609868469108,0,0,B07SPHXL9Z
23.99,2.0,1640978312857,0,0,B078PSS6SR
16.99,4.0,1667593686772,0,0,B07SM1PGJW
59.99,1.0,1670988387109,0,1,B085VWQ5MD
13.99,5.0,1603917257643,0,0,B07TRKGW9G
24.99,5.0,1508259627586,0,0,B083DY49J6
80.97,5.0,1654878140651,0,0,B0C57WMPJQ
7.66,4.0,1557547458308,0,0,B07PJTSTWV
63.0,5.0,1643740794157,0,0,B083JNDZNV
6.95,4.0,1540479756674,0,0,B07JHBPYKZ
12.99,5.0,1641810628185,0,0,B082FBV7XY
10.88,5.0,1580081747771,0,0,B01M28A97G
10.99,5.0,1491225630000,0,1,B07SHKBXP5
20.98,5.0,1568395428627,0,0,B004MDLZKU
259.99,5.0,1569278696891,0,0,B0C2HMPZRB
69.99,4.0,1563070884871,0,0,B0BWBF4MN1
84.99,4.0,1657480451551,0,0,B0BZW5SSVK
9.95,5.0,1564780542521,0,0,B01KGL9AQC
139.0,5.0,1659665799381,0,0,B09BVKDQMB
39.99,5.0,1581547167452,0,0,B08L8RDNP7
18.38,5.0,1497482983916,0,0,B09FZR2LC5
39.95,1.0,1597437219778,0,1,B07Z2RX4MR
339.32,1.0,1605214223698,0,1,B073BLHCND
5.96,5.0,1582434274486,0,0,B07ZFNM7GV
7.95,4.0,1391193504000,0,0,B0B57GSDMD
249.99,2.0,1668265967357,0,1,B09S36KB72
60.1,5.0,1487005443000,0,0,B009UW4LS6
20.99,1.0,1668463498436,0,0,B0B5KZNRH5
25.99,5.0,1590252760192,0,0,B07WX34LZH
28.91,5.0,1527601776212,0,0,B07854PBL9
11.95,5.0,1637147888162,0,0,B07WTXWC32
69.95,5.0,1617569000752,0,0,B003660VPE
11.99,5.0,1615177899180,0,0,B08JVQTQ11
21.66,1.0,1611736168591,0,0,B00MOCLC7C
23.99,5.0,1580249380132,0,0,B002ZHVU78
20.1,5.0,1580249161741,0,0,B003CZ6FWM
14.96,5.0,1537395707816,0,0,B00OMR0RJQ
23.99,5.0,1578279592653,0,0,B07WLZLXXQ
15.58,5.0,1591809525401,0,0,B0857554XT
33.49,5.0,1647391253852,0,0,B0BJPY1F7S
28.99,5.0,1583800393455,0,0,B0BWCL9WCH
16.03,5.0,1484947973000,0,0,B01I0GF0LY
359.99,2.0,1627695161046,0,0,B0C6KFX9DC
19.59,5.0,1631689640587,0,0,B0BVFQY9HH
16.99,1.0,1646178800473,0,0,B07SM1PGJW
9.99,1.0,1641740638111,0,0,B09JK3TG4V
32.99,3.0,1553341201248,0,0,B09GPXGW3M
17.5,2.0,1524915782597,0,0,B00CX8YSEQ
8.95,5.0,1638397360165,0,0,B092LLM7H3
19.53,5.0,1383787374000,0,0,B0000TN7NS
7.95,5.0,1534436675533,0,0,B0B57GSDMD
60.68,5.0,1601223758053,0,0,B00VRRHQ7K
39.99,5.0,1571882008471,0,0,B06XR8WZX6
24.99,4.0,1477791878000,0,1,B00L1JT4YM
109.0,5.0,1442065033000,0,0,B08YBGCNHP
249.99,5.0,1487558075000,0,0,B01N98C33F
49.99,5.0,1585344697356,0,0,B0B96NWZ9J
41.89,5.0,1640810538428,0,0,B08FDD8GZN
37.98,5.0,1643151434891,0,0,B09CHDQLJ4
9.97,5.0,1611270798039,0,0,B07B9T2TWZ
7.99,5.0,1611270762805,0,0,B07PGMGSK5
9.99,4.0,1577464918490,0,0,B0BKSHWS1W
37.98,5.0,1576355627870,0,0,B09CHDQLJ4
10.99,5.0,1665263620742,0,0,B06ZXZ5SFQ
6.43,2.0,1619687574821,0,0,B078RR85BS
12.99,5.0,1603535058330,0,0,B07RZV1F7B
12.89,5.0,1505697493681,0,0,B07RGLKHNY
48.99,5.0,1334006021000,0,0,B002JAKRAM
11.99,4.0,1624618691632,0,0,B07Z67CQN6
15.92,5.0,1651870777834,0,0,B0BTNK2DDM
38.44,5.0,1615252085647,0,0,B078Y4PB6R
111.55,5.0,1392506078000,0,0,B00E0CVL48
30.13,5.0,1447266150000,0,0,B00SPYDSFC
15.95,5.0,1548296672942,0,0,B01C9BPVCO
15.99,2.0,1575903025018,0,0,B000DZFTC6
